Club Name,Keywords,Keywords_with_Weights
Brothers United ,General Interest,General Interest (1.0)
Student Activities Office (SAO),General Interest,General Interest (1.0)
Campus Closet BU,General Interest,General Interest (1.0)
Himalayan Student Association,Film & Media; Food & Cooking,Film & Media (0.5); Food & Cooking (0.5)
Naturally,General Interest,General Interest (1.0)
Nigerian Students Association,African; Social Justice; Environmental,African (0.3333); Social Justice (0.3333); Environmental (0.3333)
Quiz Bowl Club,Environmental,Environmental (1.0)
Students for Israel at BU,Technology; Politics; Jewish; Women-Focused,Technology (0.25); Politics (0.25); Jewish (0.25); Women-Focused (0.25)
American Civil Liberties Union at BU,Law; Politics; Community Service; Social Justice,Law (0.25); Politics (0.25); Community Service (0.25); Social Justice (0.25)
Alternative Investments Group,Business; Professional Development,Business (0.5); Professional Development (0.5)
Undergraduate Architecture Association,Environmental,Environmental (1.0)
After School Newsletter,Film & Media; East Asian,Film & Media (0.5); East Asian (0.5)
Automotive Club,General Interest,General Interest (1.0)
Association for Women in Mathematics: Student Chapter,Film & Media; Social Justice; Women-Focused,Film & Media (0.3333); Social Justice (0.3333); Women-Focused (0.3333)
Barbell Club,Environmental; Fitness,Environmental (0.5); Fitness (0.5)
BU BassLine A-Capella,Music,Music (1.0)
